Country Name,Year,Indicator Name,Value
Bangladesh,2010,Income share held by highest 10%,26.9
Bangladesh,2005,Income share held by highest 10%,28
Bangladesh,2000,Income share held by highest 10%,27.9
Bangladesh,1995,Income share held by highest 10%,28.1
Bangladesh,1991,Income share held by highest 10%,23.3
Bangladesh,1988,Income share held by highest 10%,24.6
Bangladesh,1985,Income share held by highest 10%,23.4
Bangladesh,2010,Income share held by lowest 10%,3.9
Bangladesh,2005,Income share held by lowest 10%,3.8
Bangladesh,2000,Income share held by lowest 10%,3.7
Bangladesh,1995,Income share held by lowest 10%,3.8
Bangladesh,1991,Income share held by lowest 10%,4.1
Bangladesh,1988,Income share held by lowest 10%,4.2
Bangladesh,1985,Income share held by lowest 10%,4.5
